#,Name,Hit Points,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
1,Bulbasaur,45,49,49,65,65,45,0
2,Ivysaur,60,62,63,80,80,60,0
3,Venusaur,80,82,83,100,100,80,0
4,Mega Venusaur,80,100,123,122,120,80,0
5,Charmander,39,52,43,60,50,65,0
6,Charmeleon,58,64,58,80,65,80,0
7,Charizard,78,84,78,109,85,100,0
8,Mega Charizard X,78,130,111,130,85,100,0
9,Mega Charizard Y,78,104,78,159,115,100,0
10,Squirtle,44,48,65,50,64,43,0
11,Wartortle,59,63,80,65,80,58,0
12,Blastoise,79,83,100,85,105,78,0
13,Mega Blastoise,79,103,120,135,115,78,0
14,Caterpie,45,30,35,20,20,45,0
15,Metapod,50,20,55,25,25,30,0
16,Butterfree,60,45,50,90,80,70,0
17,Weedle,40,35,30,20,20,50,0
18,Kakuna,45,25,50,25,25,35,0
19,Beedrill,65,90,40,45,80,75,0
20,Mega Beedrill,65,150,40,15,80,145,0
21,Pidgey,40,45,40,35,35,56,0
22,Pidgeotto,63,60,55,50,50,71,0
23,Pidgeot,83,80,75,70,70,101,0
24,Mega Pidgeot,83,80,80,135,80,121,0
25,Rattata,30,56,35,25,35,72,0
26,Raticate,55,81,60,50,70,97,0
27,Spearow,40,60,30,31,31,70,0
28,Fearow,65,90,65,61,61,100,0
29,Ekans,35,60,44,40,54,55,0
30,Arbok,60,85,69,65,79,80,0
31,Pikachu,35,55,40,50,50,90,0
32,Raichu,60,90,55,90,80,110,0
33,Sandshrew,50,75,85,20,30,40,0
34,Sandslash,75,100,110,45,55,65,0
35,Nidoran♀,55,47,52,40,40,41,0
36,Nidorina,70,62,67,55,55,56,0
37,Nidoqueen,90,92,87,75,85,76,0
38,Nidoran♂,46,57,40,40,40,50,0
39,Nidorino,61,72,57,55,55,65,0
40,Nidoking,81,102,77,85,75,85,0
41,Clefairy,70,45,48,60,65,35,0
42,Clefable,95,70,73,95,90,60,0
43,Vulpix,38,41,40,50,65,65,0
44,Ninetales,73,76,75,81,100,100,0
45,Jigglypuff,115,45,20,45,25,20,0
46,Wigglytuff,140,70,45,85,50,45,0
47,Zubat,40,45,35,30,40,55,0
48,Golbat,75,80,70,65,75,90,0
49,Oddish,45,50,55,75,65,30,0
50,Gloom,60,65,70,85,75,40,0
51,Vileplume,75,80,85,110,90,50,0
52,Paras,35,70,55,45,55,25,0
53,Parasect,60,95,80,60,80,30,0
54,Venonat,60,55,50,40,55,45,0
55,Venomoth,70,65,60,90,75,90,0
56,Diglett,10,55,25,35,45,95,0
57,Dugtrio,35,80,50,50,70,120,0
58,Meowth,40,45,35,40,40,90,0
59,Persian,65,70,60,65,65,115,0
60,Psyduck,50,52,48,65,50,55,0
61,Golduck,80,82,78,95,80,85,0
62,Mankey,40,80,35,35,45,70,0
63,,65,105,60,60,70,95,0
64,Growlithe,55,70,45,70,50,60,0
65,Arcanine,90,110,80,100,80,95,0
66,Poliwag,40,50,40,40,40,90,0
67,Poliwhirl,65,65,65,50,50,90,0
68,Poliwrath,90,95,95,70,90,70,0
69,Abra,25,20,15,105,55,90,0
70,Kadabra,40,35,30,120,70,105,0
71,Alakazam,55,50,45,135,95,120,0
72,Mega Alakazam,55,50,65,175,95,150,0
73,Machop,70,80,50,35,35,35,0
74,Machoke,80,100,70,50,60,45,0
75,Machamp,90,130,80,65,85,55,0
76,Bellsprout,50,75,35,70,30,40,0
77,Weepinbell,65,90,50,85,45,55,0
78,Victreebel,80,105,65,100,70,70,0
79,Tentacool,40,40,35,50,100,70,0
80,Tentacruel,80,70,65,80,120,100,0
81,Geodude,40,80,100,30,30,20,0
82,Graveler,55,95,115,45,45,35,0
83,Golem,80,120,130,55,65,45,0
84,Ponyta,50,85,55,65,65,90,0
85,Rapidash,65,100,70,80,80,105,0
86,Slowpoke,90,65,65,40,40,15,0
87,Slowbro,95,75,110,100,80,30,0
88,Mega Slowbro,95,75,180,130,80,30,0
89,Magnemite,25,35,70,95,55,45,0
90,Magneton,50,60,95,120,70,70,0
91,Farfetch'd,52,65,55,58,62,60,0
92,Doduo,35,85,45,35,35,75,0
93,Dodrio,60,110,70,60,60,100,0
94,Seel,65,45,55,45,70,45,0
95,Dewgong,90,70,80,70,95,70,0
96,Grimer,80,80,50,40,50,25,0
97,Muk,105,105,75,65,100,50,0
98,Shellder,30,65,100,45,25,40,0
99,Cloyster,50,95,180,85,45,70,0
100,Gastly,30,35,30,100,35,80,0
101,Haunter,45,50,45,115,55,95,0
102,Gengar,60,65,60,130,75,110,0
103,Mega Gengar,60,65,80,170,95,130,0
104,Onix,35,45,160,30,45,70,0
